title,company,salary,link,experience,grade,remote,metro,query,skills_found,published_date
Финансовый аналитик данных/Финансовый эксперт /Finance Business Partner (FBP),АО Виш Хоум Девелопмент,Не указана,https://adsrv.hh.ru/click,Опыт более 6 лет,не указан,Нет,Генерала Тюленева,аналитик данных,Не указаны,Не указана
Аналитик данных,ООО КАША.РУ,Не указана,https://hh.ru/vacancy/133222123,Опыт 1-3 года,не указан,Нет,Медведково,аналитик данных,"power bi, tableau, superset, metabase, datalens, excel, google sheets, power query, 1с, a/b, api",
Аналитик клиентских данных,Ингосстрах,Не указана,https://hh.ru/vacancy/133138425,Опыт 3-6 лет,не указан,Нет,Улица 1905 года,аналитик данных,"python, sql, oracle, power bi, tableau, qlik, datalens, a/b",
Аналитик данных маркетплейсов Wildberries OZON,Data-Power,Не указана,https://hh.ru/vacancy/132554083,Опыт 1-3 года,не указан,Да,Адмиралтейская,аналитик данных,"power bi, excel, power query, api",
Аналитик данных / Координатор задач,ООО Симпл Вэй Групп,Не указана,https://hh.ru/vacancy/133218848,Опыт 1-3 года,не указан,Нет,Воронцовская,аналитик данных,excel,
Аналитик платформы данных (Аналитик DWH),Цифровой аудит,Не указана,https://hh.ru/vacancy/133363769,Опыт 3-6 лет,не указан,Нет,Добрынинская,аналитик данных,sql,
Аналитик,Frank RG,Не указана,https://hh.ru/vacancy/132353585,Опыт 1-3 года,не указан,Нет,Не указано,аналитик данных,excel,
Аналитик,ООО ТЕНЕТ РУС,Не указана,https://hh.ru/vacancy/133367522,Опыт 3-6 лет,не указан,Нет,Балтийская,аналитик данных,"sql, excel",
Аналитик,ООО АвтоИнсДат,Не указана,https://hh.ru/vacancy/132545807,Опыт 1-3 года,не указан,Нет,Не указано,аналитик данных,"python, excel, pandas",
Аналитик данных/Data Quality,Datanomica,Не указана,https://hh.ru/vacancy/132210088,Опыт 1-3 года,не указан,Нет,ЗИЛ,аналитик данных,"python, sql, postgresql, redshift, hadoop, power bi, tableau, superset, excel, spark, pandas, numpy, a/b",
Аналитик,"ДЕТСКИЕ ДЕРЕВНИ-SOS, РОССИЙСКИЙ КОМИТЕТ",Не указана,https://hh.ru/vacancy/132999459,Опыт 1-3 года,не указан,Нет,Академическая,аналитик данных,"sql, oracle, excel",
Аналитик данных в направление развития корпоративной платформы данных,"АТОЛ, группа компаний",Не указана,https://hh.ru/vacancy/133298019,Опыт более 6 лет,не указан,Да,Алексеевская,аналитик данных,"sql, excel",
